"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"benda";1;"barang";"n";"--";"--";"barang"
"bendera";1;"bendéra";"n";"--";"--";"bendéra"
"bener";1;"bener";"a";"--";"--";"bener"
"bengkak";1;"bareuh";"a";"--";"--";"bareuh"
"bengkok";1;"béngkok";"a";"--";"--";"béngkok"
"bengong";1;"hookeun";"a";"--";"--";"hookeun"
"benih";1;"binih";"n";"--";"--";"binih"
"bening";1;"hérang";"a";"warna";"--";"hérang"
"bening";1;"wening";"a";"--";"--";"wening"
"bentol-bentol";1;"baréntol";"ad";"--";"--";"béntol"
"bentuk";1;"wangun";"n";"--";"--";"wangun"
"bentukan";1;"jieunan";"n";"--";"--";"jieun"
"bentuknya";1;"bentukna";"n";"--";"--";"bentuk"
"bepergian";1;"indit-inditan";"v";"--";"--";"indit"
"bepergian";0;"ngaber";"v";;;"aber"
"berada";1;"aya";"--";"--";"--";"aya"
"beradu";1;"diadu";"vp";"--";"--";"adu"
"beragam";1;"rupa-rupa";"--";"--";"--";"rupa"
"beragama";1;"ngagem agama";"v";"--";"--";"agama"
"berair";1;"caian";"a";"--";"--";"cai"
"berak";1;"ngising";"v";"--";"--";"ising"
"berakhir";1;"lekasan";"--";"--";"--";"lekas"
"beraksi";1;"boga aksi";"v";"--";"--";"aksi"
"beralih";1;"pindah";"--";"--";"--";"pindah"
"berambut";1;"rambutan";"v";"agama";"--";"rambutan"
"beranak";1;"boga anak";"v";"--";"--";"anak"
"berandal";1;"baragajul";"n";"--";"--";"baragajul"
"berangkat";1;"indit";"v";"--";"--";"indit"
"berani";1;"wani";"a";"--";"--";"wani"
"berantakan";1;"bakrek";"a";"--";"--";"bakrek"
"berantakan";1;"bacacar";"a";"--";"--";"bacacar"
"berantem";1;"garelut";"v";"--";"--";"gelut"
"berapi";1;"seuneuan";"a";"--";"--";"seuneu"
"berarti";1;"hartina";"v";"--";"--";"harti"
"berarti";1;"hartosna";"v";"--";"--";"hartos"
"beras";1;"béas";"n";"dahar";"--";"béas"
"berasal";1;"asalna";"v";"--";"--";"asal"
"berat";1;"beurat";"a";"--";"--";"beurat"
"beratnya";1;"abotna";"n";"--";"--";"abot"
"berayun";1;"gulawing";"v";"--";"--";"gulawing"
"berayun-ayun";1;"ngagabig";"v";"--";"--";"gabig"
"berbagai";1;"sagala rupa";"--";"--";"--";"rupa"
"berbagi";1;"babagi";"v";"--";"--";"bagi"
"berbahaya";1;"picilakaeun";"a";"--";"--";"cilaka"
"berbakti";1;"bakti";"v";"--";"--";"bakti"
"berbalik";1;"malik";"v";"--";"--";"malik"
"berbantah";1;"hoghag";"v";"--";"--";"hoghag"
"berbantahan";1;"padungdengan";"v";"--";"--";"padungdengan"
"berbarengan";1;"babarengan";"a";"--";"--";"bareng"
"berbaring";1;"ngebog";"v";"--";"--";"ebog"
"berbaring";1;"ngagolér";"v";"--";"--";"golér"
"berbaring";1;"ngedeng";"v";"--";"--";"kedeng"
"berbaris";1;"ngajajar";"v";"--";"--";"jajar"
"berbayar";1;"kudu mayar";"v";"--";"--";"mayar"
"berbeda";1;"béda";"a";"--";"--";"béda"
"berbekal";1;"mawa bekel";"v";"--";"--";"bekel"
"berbelok-belok";1;"arileu";"v";"--";"--";"arileu"
"berbentuk";1;"ngawangun";"v";"--";"--";"wangun"
"berbicara";1;"nyarita";"v";"--";"--";"carita"
"berbicara";1;"ngomong";"v";"--";"--";"omong"
"berbisik";1;"ngaharéwos";"v";;;"haréwos"
"berbisnis";1;"babalantik";"v";"--";"--";"balantik"
"berbondong-bondong";1;"ngabrul";"v";"--";"--";"abrul"
"berbuat";1;"migawé";"v";"--";"--";"gawé"
"berburu";1;"moro";"v";"--";"--";"boro"
"bercakap-cakap";1;"ngobrol";"v";"--";"--";"obrol"
"bercampur";1;"galo";"v";"--";"--";"galo"
"berceceran";1;"bayabah";"a";"--";"--";"bayabah"
"berceceran";1;"awér";"a";"--";"--";"awér"
"bercengkrama";1;"macangkrama";"v";"--";"--";"macangkrama"
"bercerai";1;"pirak";"v";"--";"--";"pirak"
"bercerita";1;"nyaritakeun";"v";"--";"--";"carita"
"bercermin";1;"ngeunteung";"v";"--";"--";"eunteung"
"bercocok-tanam";1;"tataman";"v";"--";"--";"taman"
"berdandan";1;"dangdan";"v";"--";"--";"dangdan"
"berdarah";1;"getihan";"a";"--";"--";"getih"
"berdasar";1;"dumasar";"v";"--";"--";"dumasar"
"berdasarkan";1;"dumasar";"v";"--";"--";"dasar"
"berdatangan";1;"daratang";"v";"--";"--";"datang"
"berdatangan";1;"rajol";"v";"--";"--";"rajol"
"berdecak";1;"macrek";"v";"--";"--";"crek"
"berdehem";1;"ngadéhém";"v";"--";"--";"déhém"
"berdekatan";1;"padeukeut";"a";"--";"--";"deukeut"
"berdelapan";1;"dalapanan";"b";"--";"--";"dalapan"
"berdering";1;"ngirining";"v";"--";"--";"kirining"
"berdesing";1;"ngahieng";"v";"--";"--";"hieng"
"berdiang";1;"ngadéang";"v";"--";"--";"déang"
"berdikari";1;"macakal";"v";"--";"--";"macakal"
"berdiri";1;"nangtung";"v";"--";"--";"tangtung"
"berdiskusi";1;"sawala";"v";"--";"--";"sawala"
"berdua";1;"duaan";"b";"--";"--";"duaan"
"berduaan";1;"paduduaan";"v";"--";"--";"dua"
"berdurasi";1;"boga durasi";"v";"--";"--";"durasi"
"berduyun-duyun";1;"nakleuk";"v";"--";"--";"takleuk"
"berebutan";1;"pagorényang";"v";"--";"--";"gorényang"
"beredar";1;"medar";"v";"--";"--";"pedar"
"beredarnya";1;"medarna";"v";"--";"--";"pedar"
"berempat";1;"opatan";"b";"--";"--";"opat"
"berenam";1;"genepan";"b";"--";"--";"genep"
"berenang";1;"ngojay";"v";"--";"--";"kojay"
"berencana";1;"boga rencana";"v";"--";"--";"rencana"
"beres";1;"bérés";"a";"--";"--";"bérés"
"berformat";1;"boga format";"v";"--";"--";"format"
"berfungsi";1;"boga fungsi";"v";"--";"--";"fungsi"
"bergabung";1;"ngagabung";"v";"--";"--";"gabung"
"berganti";1;"baganti";"v";"--";"--";"ganti"
"bergantian";1;"gunta-ganti";"v";"--";"--";"ganti"
"bergantung";1;"ngagantung";"v";"--";"--";"gantung"
"bergelar";1;"boga gelar";"v";"--";"--";"gelar"
"bergerak";1;"usik";"v";"--";"--";"usik"
"bergerigi";1;"rérégéan";"v";"--";"--";"régé"
"bergidik";1;"ngabirigidig";"v";"--";"--";"birigidig"
"bergulir";1;"ngagulundung";"v";"--";"--";"gulundung"
"berguman";1;"ngagereyem";"v";"--";"--";"gereyem"
"bergumpal";1;"ngadagleg";"v";"--";"--";"dagleg"
"bergumul";1;"muket";"v";"--";"--";"puket"
"berguna";1;"kapaké";"a";"--";"--";"paké"
"berguncang";1;"inggeung";"v";"--";"--";"inggeung"
"mengguncang";1;"ngoyagkeun";"v";"--";"--";"oyag"
"diguncang";1;"dioyag";"vp";"--";"--";"oyag"
"guncang";1;"oyag";"vi";"--";"--";"oyag"
"berhadapan";1;"pahareup-hareup";"v";"--";"--";"hareup"
"berhak";1;"ngabogaan hak";"v";"--";"--";"hak"
"berharap";1;"ngaharepkeun";"v";"--";"--";"harep"
"berhasil";0;"laksana";"ad";"--";"--";"laksana"
"berhasil";1;"junun";"ad";"--";"--";"junun"
"berhasrat";1;"boga hasrat";"v";"--";"--";"hasrat"
"berhenti";1;"eureun";"v";"--";"--";"eureun"
"berhenti";1;"ngandeg";"v";"--";"--";"andeg"
"berhentilah";1;"eureun";"v";"--";"--";"eureun"
"berhimpitan";1;"padempét";"a";"--";"--";"dempét"
"berhubungan";1;"nyambung";"v";"--";"--";"sambung"
"beri";1;"béré";"v";"--";"--";"béré"
"berikan";1;"bikeun";"vi";"--";"--";"bikeun"
"berikutnya";1;"saterusna";"a";"--";"--";"terus"
"berimanlah";1;"iman";"v";"--";"--";"iman"
"beringas";1;"buringas";"a";"--";"--";"buringas"
"berisi";1;"beuneur";"a";"--";"--";"beuneur"
"berisi";1;"eusina";"v";"--";"--";"eusi"
"berita";1;"warta";"n";"--";"--";"warta"
"berjaga";1;"ngajaga";"v";"--";"--";"jaga"
"berjaga-jaga";1;"ngajaga-jaga";"v";"--";"--";"jaga"
"berjalan";1;"leumpang";"v";"--";"--";"leumpang"
"berjanji";1;"jangji";"v";"--";"--";"jangji"
"berjongkok";1;"ngangkog";"v";"--";"--";"angkog"
"berjuang";1;"bajoang";"v";"--";"--";"joang"
"berjudul";1;"dijudulan";"v";"--";"--";"judul"
"berjumpa";1;"paamprok";"v";"--";"--";"amprok"
"berjuntai";1;"ngambay";"v";"--";"--";"ambay"
"berjuntai";1;"rambay";"v";"--";"--";"rambay"
"berkaitan";1;"patula-patali";"v";"--";"--";"tali"
"berkali-kali";1;"sababaraha-kali";"a";"--";"--";"baraha"
"berkarakter";1;"boga sipat";"v";"--";"--";"sipat"
"berkas";1;"berkas";"n";"--";"--";"berkas"
"berkata";1;"ngomong";"v";"--";"--";"omong"
"berkecimpung";1;"ancrub";"v";"--";"--";"ancrub"
"berkedip";1;"ngiceup";"v";"--";"--";"kiceup"
"berkelahi";1;"tarung";"v";"--";"--";"tarung"
"berkelana";1;"ngalalana";"v";"--";"--";"ngalalana"
"berkeluh-kesah";1;"rumahuh";"v";"--";"--";"rahuh"
"berkembang";1;"ngembang";"v";"--";"--";"kembang"
"berkesempatan";1;"boga kasempetan";"v";"--";"--";"sempet"
"berkesinambungan";1;"sinambungan";"a";"--";"--";"sambung"
