"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"nih";1;"yeuh";"r";"--";"--";"yeuh"
"nya";1;"na";"pn";"--";"--";"na"
"nyaris";1;"ampir";"ad";"--";"--";"ampir"
"oh";1;"baruk";"r";"--";"--";"baruk"
"oleh";1;"ku";"p";"--";"--";"ku"
"pada";1;"dina";"p";"--";"--";"dina"
"paman";0;"emang";"pn";"pancakaki";"--";"emang"
"paman";0;"amang";"pn";;;"amang"
"paman";0;"paman";"pn";"--";"--";"paman"
"paman";1;"mamang";"pn";"--";"--";"mamang"
"pasca";1;"pasca";"ad";"waktu";"--";"pasca"
"pengen";1;"hayang";"m";"--";"--";"hayang"
"perlu";1;"perlu";"m";"--";"--";"perlu"
"permisi";1;"punten";"r";"--";"--";"punten"
"pingin";1;"hayang";"m";"--";"--";"hayang"
"pria";1;"lalaki";"pn";"--";"--";"laki"
"pun";1;"ogé";"ad";"--";"--";"ogé"
"saja";1;"waé";"ad";"--";"--";"waé"
"saking";1;"saking";"ad";"--";"--";"saking"
"saling";0;"pating";"p";"--";"--";"pating"
"saling";0;"papada";"p";"--";"--";"papada"
"saling";1;"silih";"p";"--";"--";"silih"
"sambil";1;"bari";"c";"satata";"--";"bari"
"sampai";1;"nepi ka";"c";"--";"--";"ka"
"samping";1;"gigireun / sabeulah";"p";"tempat";"--";"gigir"
"sana";1;"ditu";"ad";"tempat";"--";"ditu"
"sangat";0;"kacida";;;;"kacida"
"sanggup";1;"sanggup";"m";"--";"--";"sanggup"
"saudara";1;"baraya";"pn";"pancakaki";"--";"sérang"
"saya";1;"kuring";"pn";"jalma-1";"--";"kuring"
"seandainya";1;"lamun";"c";"--";"--";"lamun"
"sebab";1;"sabab";"c";"--";"--";"sabab"
"sebagai";1;"minangka";"p";"--";"--";"minangka"
"sebaiknya";1;"leuwih hadé";"c";"--";"--";"hadé"
"sebaliknya";1;"sabalikna";"ca";"--";"--";"balik"
